feature,importance
customer_age,439
monetary,254
freq_per_month,190
avg_spent_per_txn,177
frequency,127
device_Mobile,48
region_Maine,22
age_bin_mid,13
gender_M,12
region_New Hampshire,12
device_region_Mobile_Nebraska,12
region_Washington,11
region_Hawaii,10
region_Illinois,10
device_Tablet,9
region_Virginia,9
region_Colorado,9
region_Delaware,9
region_Nebraska,8
region_Arkansas,7
region_Wisconsin,6
region_North Carolina,6
region_Tennessee,5
region_Vermont,5
region_Minnesota,5
region_Kentucky,4
region_Montana,3
region_West Virginia,3
region_Michigan,3
region_New Jersey,2
region_Maryland,2
region_Oklahoma,1
age_bin_veteran,1
device_region_Mobile_Vermont,0
device_region_Tablet_Colorado,0
device_region_Tablet_Arizona,0
device_region_Mobile_Wyoming,0
device_region_Mobile_Wisconsin,0
device_region_Mobile_South Carolina,0
device_region_Mobile_West Virginia,0
device_region_Mobile_South Dakota,0
device_region_Tablet_Arkansas,0
device_region_Mobile_Tennessee,0
device_region_Mobile_Washington,0
device_region_Mobile_Texas,0
device_region_Mobile_Utah,0
device_region_Mobile_Virginia,0
device_region_Tablet_California,0
device_region_Tablet_Alabama,0
device_region_Tablet_Alaska,0
device_region_Mobile_New Jersey,0
device_region_Mobile_Rhode Island,0
device_region_Mobile_Pennsylvania,0
device_region_Mobile_Kansas,0
device_region_Mobile_Kentucky,0
device_region_Mobile_Louisiana,0
device_region_Mobile_Maine,0
device_region_Mobile_Maryland,0
device_region_Mobile_Massachusetts,0
device_region_Mobile_Michigan,0
device_region_Mobile_Minnesota,0
device_region_Mobile_Mississippi,0
device_region_Mobile_Missouri,0
device_region_Mobile_Montana,0
device_region_Mobile_Nevada,0
device_region_Mobile_New Hampshire,0
device_region_Tablet_Delaware,0
device_region_Mobile_New Mexico,0
device_region_Mobile_New York,0
device_region_Mobile_North Carolina,0
device_region_Mobile_North Dakota,0
device_region_Mobile_Ohio,0
device_region_Mobile_Oklahoma,0
device_region_Mobile_Oregon,0
device_region_Tablet_Connecticut,0
device_region_Tablet_Minnesota,0
device_region_Tablet_Florida,0
device_region_Tablet_Georgia,0
device_region_Tablet_North Carolina,0
device_region_Tablet_North Dakota,0
device_region_Tablet_Ohio,0
device_region_Tablet_Oklahoma,0
